Rainfall,Max Temperature,Min Temperature,Maximum Humidity,Min Humidity,Wind Direction,CC,EVP,Wind speed,Solar Radiation,date
0.0,35.0,25.0,65.0,35.0,90.0,2.0,6.0,2.5,25.265625000000004,5/26
0.0,38.0,25.0,70.0,35.0,45.0,1.0,9.7,3.0,27.7921875,5/27
0.0,36.0,25.0,45.0,45.0,90.0,2.0,10.6,2.0,10.106250000000001,5/28
0.0,34.0,25.0,45.0,45.0,315.0,1.0,11.2,2.0,10.106250000000001,5/29
19.2,36.0,20.0,95.0,80.0,270.0,8.0,7.3,5.6,28.312362132352945,5/30
1.3,35.0,23.0,60.0,35.0,45.0,8.0,3.4,4.5,28.634375000000002,5/31
0.0,35.0,27.0,53.0,44.0,67.0,1.0,9.0,1.0,23.428125,6/1
0.0,38.0,25.0,66.0,30.0,215.0,1.0,10.4,3.0,28.634375000000002,6/2
0.0,41.0,31.0,53.0,20.0,115.0,3.0,12.8,3.0,26.031250000000004,6/3
0.0,42.0,29.0,43.0,20.0,180.0,1.0,10.5,2.5,15.61875,6/4
0.0,39.0,31.0,59.0,35.0,45.0,2.0,8.2,2.5,15.61875,6/5
0.0,39.0,30.0,48.0,36.0,225.0,6.0,9.2,3.0,28.634375000000002,6/6
0.0,39.0,29.0,52.0,25.0,115.0,6.0,14.0,2.0,28.634375000000002,6/7
0.0,41.0,25.0,25.0,20.0,115.0,1.0,11.8,1.5,28.634375000000002,6/8
0.0,40.0,25.0,25.0,20.0,170.0,1.0,11.2,2.0,20.825000000000003,6/9
0.0,42.0,24.0,35.0,20.0,215.0,1.0,10.6,1.0,26.031250000000004,6/10
0.0,40.0,29.0,30.0,20.0,215.0,4.0,10.6,1.5,26.031250000000004,6/11
0.0,40.0,29.0,30.0,20.0,215.0,2.0,11.0,1.5,28.634375000000002,6/12
0.0,39.0,27.0,30.0,20.0,225.0,2.0,10.8,1.5,20.825000000000003,6/13
0.0,39.0,29.0,30.0,20.0,90.0,1.0,11.0,1.5,28.634375000000002,6/14
0.0,38.0,28.0,39.0,20.0,180.0,4.0,10.0,1.5,28.634375000000002,6/15
0.0,37.0,27.0,53.0,20.0,180.0,1.0,8.2,1.5,28.634375000000002,6/16
0.0,38.0,27.0,40.0,20.0,225.0,1.0,11.0,2.0,28.634375000000002,6/17
0.0,41.0,26.0,39.0,20.0,160.0,1.0,11.3,2.5,28.634375000000002,6/18
0.0,38.0,28.0,35.0,20.0,160.0,1.0,11.0,2.5,28.634375000000002,6/19
0.0,38.0,28.0,30.0,20.0,200.0,1.0,11.0,3.0,28.634375000000002,6/20
0.0,42.0,27.0,25.0,20.0,160.0,1.0,12.6,2.0,28.634375000000002,6/21
0.0,43.0,28.0,25.0,20.0,160.0,1.0,12.8,2.5,28.634375000000002,6/22
0.0,43.0,28.0,38.0,20.0,160.0,1.0,12.0,2.0,26.031250000000004,6/23
0.0,35.0,28.0,38.0,20.0,270.0,1.0,10.4,2.0,27.332812500000003,6/24
0.0,35.0,30.0,56.0,36.0,210.0,2.0,11.0,2.5,27.332812500000003,6/25
0.0,41.0,31.0,55.0,30.0,135.0,1.5,11.2,2.8,27.332812500000003,6/26
0.0,39.0,32.0,55.0,30.0,135.0,1.5,8.8,2.5,13.015625000000002,6/27
0.0,38.0,32.0,57.0,44.0,90.0,1.5,10.4,4.0,13.015625000000002,6/28
25.4,37.0,24.0,95.0,48.0,45.0,7.0,7.4,4.0,15.5815625,6/29
8.0,25.0,32.0,95.0,65.0,225.0,7.0,4.4,2.6,15.435000000000002,6/30
2.0,33.0,28.0,95.0,58.0,215.0,6.0,3.4,1.0,15.435000000000002,7/1
0.0,30.0,28.0,95.0,58.0,115.0,6.0,3.8,1.0,25.725,7/2
0.0,30.0,28.0,87.0,56.0,165.0,6.0,5.0,1.0,30.870000000000005,7/3
0.0,36.0,28.0,65.0,35.0,90.0,2.0,6.2,0.5,30.870000000000005,7/4
0.0,35.0,30.0,70.0,35.0,90.0,0.0,6.2,1.0,25.725,7/5
0.0,36.0,29.0,70.0,35.0,45.0,0.0,8.2,1.0,10.290000000000001,7/6
0.0,37.0,32.0,60.0,35.0,45.0,2.0,8.0,1.5,20.580000000000002,7/7
16.0,27.0,24.0,95.0,65.0,45.0,8.0,10.0,3.0,15.435000000000002,7/8
0.0,36.0,28.0,75.0,45.0,90.0,4.0,7.0,3.0,25.725,7/9
0.0,37.0,28.0,80.0,45.0,90.0,6.0,8.0,3.0,25.725,7/10
0.0,37.0,29.0,66.0,49.0,90.0,2.0,5.2,1.5,15.435000000000002,7/11
0.0,36.0,29.0,96.0,43.0,45.0,2.0,8.0,2.2916666666666665,20.580000000000002,7/12
0.7,34.0,26.0,99.0,43.0,45.0,6.0,2.3,2.0833333333333335,10.290000000000001,7/13
0.0,34.0,28.0,85.0,43.0,180.0,4.0,6.0,2.5,23.152500000000003,7/14
123.6,22.0,25.0,95.0,95.0,135.0,8.0,4.0,1.5,18.007500000000004,7/15
0.0,31.0,25.0,80.0,57.0,180.0,3.0,2.8,0.2,15.435000000000002,7/16
0.0,31.0,31.0,89.0,55.0,225.0,5.0,4.0,1.3,25.725,7/17
0.0,35.0,31.0,76.0,46.0,45.0,6.0,7.0,2.6,10.290000000000001,7/18
0.0,37.0,28.0,80.0,46.0,180.0,2.0,5.0,2.7,20.580000000000002,7/19
0.0,30.0,29.0,92.0,46.0,135.0,8.0,5.2,1.0,15.435000000000002,7/20
0.0,30.0,29.0,87.0,46.0,225.0,4.0,5.0,0.4,20.580000000000002,7/21
123.6,37.0,26.0,94.0,46.0,135.0,6.0,0.4,1.1,20.580000000000002,7/22
5.8,31.0,28.0,94.0,46.0,45.0,4.0,4.4,0.7,25.725,7/23
6.8,31.0,29.0,83.0,46.0,45.0,4.0,2.0,3.4,18.007500000000004,7/24
0.0,30.0,29.0,70.0,46.0,157.5,2.0,6.0,2.8,15.435000000000002,7/25
0.0,32.0,31.0,81.0,46.0,135.0,5.0,4.4,0.1,10.290000000000001,7/26
10.2,34.0,30.0,85.0,46.0,140.0,6.0,5.0,0.3,12.8625,7/27
31.0,32.0,25.5,95.0,92.0,135.0,8.0,5.0,0.1,12.8625,7/28
13.0,30.0,24.0,96.0,90.0,197.5,7.0,3.0,0.1,10.290000000000001,7/29
0.0,29.5,23.5,91.0,72.0,135.0,7.0,2.0,0.4,10.290000000000001,7/30
0.0,30.0,26.0,90.0,60.0,130.0,8.0,6.0,0.5,9.61625,7/31
1.0,32.0,30.0,92.0,62.0,180.0,8.0,4.0,1.0,9.61625,8/1
17.2,33.0,28.0,96.0,77.0,180.0,8.0,6.0,1.5,9.61625,8/2
1.2,33.0,30.0,94.0,80.0,180.0,8.0,2.4,0.5,9.61625,8/3
1.2,31.0,30.0,94.0,80.0,180.0,8.0,3.6,0.5,12.020312500000001,8/4
0.4,33.0,30.0,96.0,85.0,180.0,8.0,3.6,0.5,9.61625,8/5
43.0,30.0,27.0,97.0,84.0,315.0,7.0,3.6,0.4,20.43453125,8/6
25.8,30.0,28.0,95.0,77.0,180.0,8.0,0.8,1.4,21.6365625,8/7
0.4,31.0,29.0,80.0,56.0,157.5,3.5,4.4,0.3,12.020312500000001,8/8
0.0,32.0,30.0,76.0,76.0,18.0,3.0,6.0,1.7,9.61625,8/9
0.0,34.0,30.0,87.0,68.0,112.5,7.0,4.7,1.5,14.424375,8/10
0.0,36.0,26.0,92.0,65.0,315.0,8.0,8.0,1.3,9.61625,8/11
0.0,37.0,30.0,86.0,54.0,180.0,6.0,5.0,1.5,9.61625,8/12
31.6,30.0,30.0,92.0,96.0,90.0,8.0,4.0,1.0,9.61625,8/13
0.4,33.0,28.0,94.0,85.0,315.0,8.0,1.0,2.5,9.61625,8/14
51.0,31.0,28.0,95.0,85.0,270.0,8.0,2.0,1.5,12.020312500000001,8/15
42.0,26.0,26.0,95.0,95.0,90.0,8.0,1.0,1.5,9.61625,8/16
5.8,29.0,25.0,97.0,84.0,180.0,7.0,4.0,1.0,12.020312500000001,8/17
28.4,33.0,25.0,97.0,85.0,180.0,8.0,6.6,2.0,19.2325,8/18
30.0,30.0,23.0,97.0,72.0,180.0,7.0,4.4,2.0,9.61625,8/19
0.0,33.0,26.0,84.0,64.0,180.0,4.0,5.4,1.0,19.2325,8/20
0.0,37.0,26.0,94.0,53.0,90.0,8.0,5.0,1.0,19.2325,8/21
0.0,37.0,27.0,84.0,46.0,180.0,4.0,6.0,1.0,19.2325,8/22
0.0,33.0,28.0,88.0,60.0,180.0,4.0,6.0,1.0,19.2325,8/23
0.0,34.0,28.0,91.0,57.0,95.0,4.0,6.0,0.5,9.61625,8/24
0.0,33.0,28.0,80.0,58.0,45.0,4.0,6.0,1.0,9.61625,8/25
0.0,32.0,28.0,81.0,56.0,180.0,8.0,4.4,1.3,14.424375,8/26
56.2,31.0,28.0,97.0,98.0,180.0,8.0,4.6,0.5,14.424375,8/27
2.0,34.0,23.6,87.0,60.0,45.0,6.0,3.4,1.0,9.61625,8/28
0.0,34.0,23.6,86.0,59.0,90.0,6.0,1.2,0.8,9.61625,8/29
2.0,33.0,29.6,81.0,87.0,90.0,8.0,3.8,1.5,18.649696969696972,8/30
7.0,30.0,28.0,94.0,93.0,180.0,8.0,6.2,0.8,8.513750000000002,8/31
76.2,31.0,29.0,98.0,76.0,45.0,4.0,1.5,1.0,17.027500000000003,9/1
0.4,31.0,25.0,91.0,77.0,45.0,8.0,5.0,0.5,12.770625000000003,9/2
0.0,32.0,28.0,85.0,76.0,315.0,4.0,5.4,1.0,12.770625000000003,9/3
0.0,28.0,25.0,93.0,74.0,315.0,6.0,1.0,3.0,17.027500000000003,9/4
0.0,30.0,25.0,80.0,68.0,45.0,6.0,3.6,0.8,17.027500000000003,9/5
0.0,29.0,27.0,64.0,67.0,45.0,4.0,3.8,1.5,8.513750000000002,9/6
0.0,32.0,27.0,82.0,52.0,180.0,4.0,4.0,2.5,8.513750000000002,9/7
10.0,30.0,27.0,92.0,93.0,225.0,8.0,3.2,2.5,8.513750000000002,9/8
13.6,30.0,25.0,92.0,83.0,270.0,8.0,3.4,2.0,8.513750000000002,9/9
189.0,31.0,24.0,98.0,98.0,45.0,8.0,0.0,2.5,8.513750000000002,9/10
5.4,26.0,24.0,96.0,94.0,90.0,8.0,2.0,2.5,8.513750000000002,9/11
38.2,29.0,25.0,88.0,84.0,45.0,8.0,2.0,2.0,8.513750000000002,9/12
3.4,30.0,24.0,96.0,97.0,90.0,8.0,2.0,2.5,17.027500000000003,9/13
0.4,31.0,28.0,96.0,72.0,90.0,8.0,2.0,1.5,14.899062500000001,9/14
0.0,32.0,26.0,97.0,57.0,180.0,4.0,3.6,1.5,25.541250000000005,9/15
0.0,32.0,25.0,97.0,72.0,180.0,5.0,3.6,1.2,25.541250000000005,9/16
0.0,32.0,26.0,94.0,52.0,270.0,0.0,2.1,2.1,23.4128125,9/17
0.0,34.0,25.0,93.0,59.0,150.0,0.0,2.5,2.0,23.4128125,9/18
0.0,33.0,28.0,97.0,58.0,90.0,1.0,3.6,0.8,23.4128125,9/19
0.0,33.0,22.2,82.0,60.0,135.0,1.0,2.0,0.5,19.155937500000004,9/20
0.0,32.0,22.2,79.0,53.0,110.0,1.0,1.5,1.1,8.513750000000002,9/21
0.6,30.0,22.2,90.0,73.0,175.0,3.0,1.0,1.5,8.513750000000002,9/22
0.0,33.0,27.0,95.0,68.0,45.0,8.0,4.0,1.5,14.899062500000001,9/23
0.0,33.0,28.0,96.0,72.0,135.0,8.0,2.8,1.3,14.899062500000001,9/24
0.0,28.0,28.0,95.0,92.0,135.0,5.0,2.0,1.0,14.899062500000001,9/25
0.0,28.0,28.0,95.0,91.0,90.0,5.0,2.0,1.5,17.027500000000003,9/26
0.0,33.0,27.0,90.0,68.0,90.0,5.0,3.0,0.2,17.027500000000003,9/27
0.0,33.0,28.0,90.0,60.0,90.0,4.0,3.0,0.5,12.770625000000003,9/28
0.0,31.0,28.0,90.0,53.0,90.0,4.0,2.3,0.4,16.409566532258065,9/29
0.0,35.0,27.0,89.0,55.0,180.0,6.0,3.2,0.5,21.315,9/30
0.0,35.0,28.0,91.0,51.0,45.0,4.0,4.0,0.3,17.762500000000003,10/1
0.0,35.0,28.0,72.0,50.0,135.0,0.0,3.9,0.4,14.21,10/2
0.0,34.0,28.0,66.0,58.0,157.5,2.0,5.6,0.5,7.105,10/3
0.0,34.0,27.0,70.0,59.0,45.0,4.0,3.4,0.6,8.881250000000001,10/4
0.0,35.0,24.0,84.0,82.0,292.5,8.0,2.2,0.4,7.105,10/5
5.4,30.0,24.0,95.0,65.0,180.0,7.0,2.4,0.6,19.53875,10/6
0.0,29.0,24.0,94.0,62.0,112.5,8.0,3.0,0.8,21.315,10/7
0.0,30.0,23.0,92.0,53.0,180.0,1.0,3.6,0.8,21.315,10/8
0.0,32.0,23.0,89.0,40.0,67.5,0.0,3.8,0.6,21.315,10/9
0.0,31.0,22.0,61.0,37.0,202.5,0.0,3.4,0.4,21.315,10/10
0.0,30.0,23.0,62.0,38.0,112.5,0.0,3.9,0.5,21.315,10/11
0.0,30.0,20.0,65.0,40.0,123.75,0.0,3.2,0.4,21.315,10/12
0.0,30.0,20.0,74.0,39.0,130.0,0.0,4.0,0.3,21.315,10/13
0.0,30.2,19.9,70.0,37.0,140.0,0.0,3.8,0.2,21.315,10/14
0.0,30.1,19.8,69.0,38.0,125.0,0.0,3.7,0.3,21.315,10/15
0.0,30.2,19.7,68.0,39.0,128.0,0.0,3.4,0.4,21.315,10/16
0.0,30.4,19.8,69.0,38.0,129.0,0.0,3.3,0.5,21.315,10/17
0.0,29.8,19.6,68.0,34.0,135.0,0.0,3.2,0.6,21.315,10/18
0.0,29.7,19.5,64.0,35.0,127.0,0.0,3.3,0.5,21.315,10/19
0.0,29.8,19.7,64.0,34.0,128.0,0.0,3.4,0.3,21.315,10/20
